Artist	Title
Boards of Canada	Roygbiv
C418	Shuniji
GoGo Penguin	Kamaloka
Joe Hisaishi	The Village in May
Josh Cohen	It's in F Take 2
Kyle Preston	Gutenberg
Lambert	As Ballad
Lawrence Hart	Try Repeat
NTO, Worakls	Trauma - Worakls Remix
Niklas Paschburg	Synchronised Valve
Synthion	Starlight
Thom Yorke	Suspirium
Tom Odell	Another Love
Tomggg, tsvaci	Butter Sugar Cream
Yppah, Anomie Belle	Film Burn
deadmau5	Pets
中村佳穂	忘れっぽい天使
佐咲紗花	Zzz
