Artist	Title
Bladee	Eyelash
CHVRCHES, Four Tet	Leave A Trace - Four Tet Remix
Ethanplus	Missing
Fred again.., Lil Yachty, Overmono	stayinit
G Jones, Eprom	By Your Side
Hyd	Watch You Cry
Mr. Sosa	2 Strong
Slayyyter	I'M ACTUALLY KINDA FAMOUS
rebound girl	hoboken
