Artist	Title
Chrome Sparks	Send The Pain On
Ethan Bortnick	cut my fingers off
Groundislava	The Dig
Natalie Layne	Love Me Back to Life
No Mana	Should’ve Brought My Switch
Perturbator	Birth of the New Model
Sakuraburst	Forest of the Spirits
The Smile	The Same
g3ox_em	GigaChad Theme - Phonk House Version
