Artist	Title
Aests	DUCK GROOVE
Afternoon Bike Ride	Terrace Rain
Ahadadream, Priya Ragu, Skrillex, Taiki Nulight	TAKA - Taiki Nulight Remix
Aloboi	Dies Irae
Arman Cekin, eevee	Mysterious Ambience
Bby Eco	⥀.003 Zoom
C.H.A.Y.	FIRE EMBLEM
Effin	Divine
Ellzo	Sunday Sauce
Flying Lotus	Garmonbozia
Groupthink	does your mother know?
Ian Mills	yayarave
JUST JAMES	Looking Up
James Ivy	Texas
Kouek	Dice Game
Kumo 99	Headplate
Lord Genmu, The Glitch Mob	Hold It - The Glitch Mob Remix
Lorn	ENTROPYYY
MaybeImTyler	you again
Mindchatter	It's Ok (it's Not Ok)
Neon Vectors	NV House
Nikita, the Wicked	holy ghost
Rad Cat	leave it all behind
Rohaan	Easy for them
Saya Gray	AA BOUQUET FOR YOUR 180 FACE
Silent Boy, defyer, yaego	Show U
Veela	Versatile
maxime.	‎telephone ‎wires
yaego	constant repeat
yeule	sulky baby
