 8	Holly Walker
 8	Golden Vessel
 8	False Noise
 8	Dorian Concept
 8	DjRUM
 8	Dior
 8	dark cat
 8	Cö shu Nie
 8	CloZee
 8	Cityfires
 8	Boss Axis
 8	Apparat
 8	Aleksandir
 7	Wavedash
 7	TV Girl
 7	Tsundere Twintails
 7	Tricky
 7	Thylacine
 7	The Micronaut
 7	The Messenger Birds
 7	Tennyson
 7	Squarepusher
 7	Robotaki
 7	Phoenix
 7	OVERWERK
 7	Niklas Paschburg
 7	Misc.Inc
 7	MIKA
 7	Mac Miller
 7	Lamp
 7	La Roux
 7	Joe Ford
 7	jizue
 7	Jesse Mac Cormack
 7	Jeremy Blake
 7	Jai Wolf
 7	Hudson Lee
 7	Harry Hayes
 7	Groundislava
 7	Golden Features
 7	Gold Panda
 7	Fox Stevenson
 7	Fine-Sir-1584660650
 7	Eprom
 7	Disco Lines
 7	bôa
 7	Bearcubs
 7	Barry Can't Swim
 7	Atoms For Peace
 7	AllttA
 7	100 gecs
 6	宇宙ネコ子
 6	キャロル&チューズデイ(Vo.Nai Br.XX&Celeina Ann)
 6	Zes
 6	YOUTH 83
 6	WRLD
 6	Wintergatan
 6	Whethan
 6	Teminite
 6	Tame Impala
 6	Siriusmo
 6	Sideluv
 6	Sayuri
 6	ryscu
 6	Rita J
 6	Reol
 6	quickly
 6	Portico Quartet
 6	Player Dave
 6	Pearly Drops
 6	Ocoeur
 6	Nowfeel
 6	No Spirit
 6	Marc Romboy
 6	Little Dragon
 6	LissA
 6	Laxcity
 6	Kyle Dixon & Michael Stein
 6	Kx5
 6	Kessoncoda
 6	Kendrick Lamar
 6	Jamie xx
 6	Jai Paul
 6	ill.gates
 6	Hatsune Miku
 6	Funi
 6	Fleuves
 6	FJAAK
 6	Everything Is Recorded
 6	Elderbrook
 6	daine
 6	Cö Shu Nie
 6	Casey MQ
 6	Boucle Infinie
 6	Blue Wednesday
 6	Barker
 6	Au5
 6	ATRIP
 6	Alex G
 6	8485
 5	Zedd
 5	Yaron Herman Trio
 5	XIRA
 5	Voyage
 5	Virtual Riot
 5	tsubi club
 5	tricot
 5	Tinashe
 5	TheFatRat
 5	The Silhouettes Project
 5	The Hellp
 5	Synkro
 5	Syberlilly
 5	Soleeman
 5	Skepta
 5	Shire T
 5	Serani Poji
 5	Sandhouse
 5	salute
 5	Sainte
 5	Ryan Davis
 5	projektbau
 5	Paris Paloma
 5	Nordic Pulse Ensemble
 5	Nordic Pulse
 5	Mord Fustang
 5	Minecraft
 5	METRO MEW
 5	meganeko
 5	Lily Allen
 5	Lapalux
 5	Kota Banks
 5	Kofi Stone
 5	KLOUD
 5	Kiid katze
 5	just lil
 5	Jukaa
 5	John Summit
 5	Jerry Folk
 5	Jamiroquai
 5	Jacana People
 5	IHF
 5	IDLES
 5	G Jones
 5	Froman
 5	Fejká
 5	Epic Mountain
 5	Emma Louise
 5	Dead Calm
 5	Danny L Harle
 5	Danger
 5	CRUSH3d
 5	Cid Rim
 5	Big Thief
 5	Bibio
 5	beabadoobee
 5	Avishai Cohen
 5	Atura
 5	Arthur Hnatek Trio
 5	Anamanaguchi
 5	Amtrac
 5	Alison Wonderland
 5	Alfa Mist
 5	Alexander Panos
 5	Alexa Melo
 5	Aether
 4	電音部
 4	Øneheart
 4	Étienne de Crécy
 4	ZIG MENTALITY
 4	Yasumu
 4	XXXTENTACION
 4	xander.
 4	William Hutson
 4	What So Not
 4	Vylet Pony
 4	Voicians
 4	Vitalic
 4	Virtual Self
 4	Vindata
 4	Village
 4	Vanessa Wagner
 4	Tristam
 4	Trans Voices
 4	Totally Enormous Extinct Dinosaurs
 4	Tony Anderson
 4	Toko Miura
 4	toe
 4	Tobu
 4	Tipper
 4	The xx
 4	The Strokes
 4	The M Machine
 4	The Glitch Mob
 4	The Caracal Project
 4	Teho
 4	Ta-ku
 4	Susanne Sundfør
 4	Supershy
 4	Sto
 4	Skope
 4	Sharks
 4	Serph
 4	Secede
 4	SawanoHiroyuki[nZk]
 4	Sakuraburst
 4	Robyn
 4	Rage Against The Machine
 4	Qrion
 4	Py
 4	PrototypeRaptor
 4	piri
 4	Phuture Doom
 4	Phantogram
 4	Pedestrian Tactics
 4	Parra for Cuva
 4	Ordley
 4	O'Flynn
 4	Nuage
 4	Notaker
 4	Noisia
 4	New Astronomy
 4	NERO
 4	Neil Cowley
 4	Mura Masa
 4	Morgan Page
 4	Monuman
 4	Montee
 4	Mont Duamel
 4	MINNIE
 4	MGMT
 4	Memphis LK
 4	MELVV
 4	Martina Topley-Bird
 4	Lucid Keys
 4	leon chang
 4	League of Legends
 4	LAO Experiment
 4	Lamorn
 4	Kyle Preston
 4	Kokonoku
 4	Kinokoteikoku
 4	Kenya Grace
 4	Kelly Lee Owens
 4	Kaeto
 4	Jonathan Snipes
 4	John Tejada
 4	Jaron
 4	James Ivy
 4	ILĀ
 4	HUS
 4	gyrofield
 4	Grimes
 4	GEN.KLOUD
 4	Fractures
 4	Fiona Sally Miller
 4	Everyone You Know
 4	Eric Prydz
 4	Dylan Brady
 4	DRAMA
 4	DOT5
 4	Dominik Eulberg
 4	DEADLIFE
 4	Daveed Diggs
 4	Daktyl
 4	Colyn
 4	Coals
 4	Chet Porter
 4	BOP
 4	Bladee
 4	Bicep
 4	Ben Böhmer
 4	Bby Eco
 4	Autograf
 4	Arlo
 4	Aparde
 4	Aoki Takamasa
 4	Antonin Volson
 4	Alpha Wann
 4	Aedan
 4	Adriatique
 4	[Post-foetus]
 4	3LAU
 4	1-800 GIRLS
 3	花譜
 3	物語シリーズ
 3	安田みずほ
 3	佐咲紗花
 3	µ-Ziq
 3	||||||||||||||||||||
 3	Zeds Dead
 3	Zebbler Encanti Experience
 3	Yukimi
 3	YOASOBI
 3	Yeah Yeah Yeahs
 3	Yaron Herman
 3	XG
 3	wilt
 3	weird inside
 3	vowl.
 3	Vitesse X
 3	Villager
 3	Vilja Larjosto
 3	Viktoria Liv
 3	Vijay Iyer Trio
 3	Vasudeva
 3	Valhalla
 3	umru
 3	TWO LANES
 3	Tujiko Noriko
 3	tsvaci
 3	Tommy Villiers
 3	Tokyo Machine
 3	TOKiMONSTA
 3	Thrupence
 3	Thomas Schumacher
 3	The Toxic Avenger
 3	The Range
 3	The Black Dog
 3	Terrace Martin
 3	tender spring
 3	Tchami
 3	Taut
 3	Sycco
 3	Swørn
 3	SWIMS
 3	sunflwr
 3	Sunda Arc
 3	Summers Sons
 3	Sultan + Shepard
 3	Sub Focus
